team1,team2,goals1,goals2,xg1,xg2,dominance_team1_xgshare,fv1,fv2,luck_match_pct,low_xg_goal_count,match_id,match_date,competition_id,season_id
NorthEast United,Jamshedpur,0,0,1.788059931,1.593110034,0.5288287632709999,-1.788059931,-1.593110034,5.45143631989369,0,3817859,2022-02-25,1238,108
Birmingham City WFC,Tottenham Hotspur Women,0,0,0.594182812,0.51785669,0.5343180803661775,-0.594182812,-0.51785669,6.42278104133379,0,3775549,2021-05-09,37,90
Iceland Women's,France Women's,0,0,1.848176081,1.2447185205,0.5975554679760722,-1.848176081,-1.2447185205,16.325759398787504,0,3835342,2022-07-18,53,106
Germany,Japan,0,0,2.768019421,1.249259581,0.6890284243693163,-2.768019421,-1.249259581,27.434053180366035,0,3857284,2022-11-23,43,106
Manchester United,Tottenham Hotspur Women,0,0,1.674145984,0.494652207,0.771923358728032,-1.674145984,-0.494652207,35.226730173848445,0,3775644,2020-10-10,37,90
Getafe,Barcelona,0,0,1.6521006249999999,0.784355822,0.6780751722585583,-1.6521006249999999,-0.784355822,26.261862923755018,0,3773587,2020-10-17,11,90
Argentina,Canada,0,0,3.538291301,0.9772994850000001,0.7835721766396571,-3.538291301,-0.9772994850000001,36.18966894099712,0,3939969,2024-06-21,223,282
France,Morocco,0,0,2.002449116,1.23036399,0.6194138202061595,-2.002449116,-1.23036399,19.278520483513752,0,3869552,2022-12-14,43,106
Paris Saint-Germain,Lens,0,0,1.967963255,0.8457759843,0.6994120945939498,-1.967963255,-0.8457759843,28.51138779773609,0,3802676,2022-04-23,7,108
Sweden Women's,Australia Women's,0,0,1.5701500685,0.7433371977000001,0.6786940613159447,-1.5701500685,-0.7433371977000001,26.329103420982975,0,3906389,2023-08-19,72,107
Netherlands,Romania,0,0,2.6262365,0.267701091,0.9074959004532313,-2.6262365,-0.267701091,44.903332373150704,0,3941021,2024-07-02,55,282
Brazil,Switzerland,0,0,0.922729946,0.288629175,0.7617311249848591,-0.922729946,-0.288629175,34.36004075454596,0,3857269,2022-11-28,43,106
Odisha,Goa,0,0,1.91635457,1.7038635593999998,0.5293478186955571,-1.91635457,-1.7038635593999998,5.544146525034775,0,3817894,2022-02-01,1238,108
Goa,Bengaluru,0,0,1.294162452,0.688503963,0.6527383740446322,-1.294162452,-0.688503963,23.399631478413497,0,3817874,2022-01-23,1238,108
Jamshedpur,NorthEast United,0,0,3.3379695320000002,1.543182008,0.6838487813062243,-3.3379695320000002,-1.543182008,26.884420405788173,0,3813302,2022-01-06,1238,108
ATK Mohun Bagan,Hyderabad,0,0,2.2775546419,1.038915053,0.6867406765098374,-2.2775546419,-1.038915053,27.19231332835756,0,3817884,2022-02-08,1238,108
Cape Verde Islands,Mauritania,0,0,1.5715358578999998,0.7769726870000001,0.6691633553187332,-1.5715358578999998,-0.7769726870000001,25.27982950264185,0,3922241,2024-01-29,1267,107
NorthEast United,East Bengal,0,0,1.630359222,0.639644459,0.7182187569324916,-1.630359222,-0.639644459,30.383327478734007,0,3813276,2021-12-17,1238,108
Ukraine,Sweden,0,0,1.344288255,0.9119222929999999,0.5958168470542936,-1.344288255,-0.9119222929999999,16.08159412208805,0,3794692,2021-06-29,55,43
Inter Miami,Charlotte,0,0,1.102306365,0.984387534,0.5282549421974421,-1.102306365,-0.984387534,5.348732201142647,0,3877194,2023-10-22,44,107
Manchester United,Everton LFC,0,0,1.316998223,1.143805809,0.5351902085147429,-1.316998223,-1.143805809,6.575271362382083,0,3775563,2021-05-09,37,90
